Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
Stencil,8192,0.27,20,28.63,N/A,Table Not Found
Stencil,8192,0.27,21,28.75,N/A,Table Not Found
Stencil,8192,0.27,22,29.35,N/A,Table Not Found
Stencil,8192,0.27,23,28.37,N/A,Table Not Found
Stencil,8192,0.27,24,29.63,N/A,Table Not Found
Stencil,8192,0.27,25,27.88,N/A,Table Not Found
Stencil,8192,0.27,26,28.37,N/A,Table Not Found
Stencil,8192,0.27,27,30.17,N/A,Table Not Found
Stencil,8192,0.27,28,29.87,N/A,Table Not Found
Stencil,8192,0.27,29,28.94,N/A,Table Not Found
Stencil,8192,0.27,30,28.75,N/A,Table Not Found
Stencil,8192,0.27,31,28.10,N/A,Table Not Found
Stencil,8192,0.27,32,28.61,N/A,Table Not Found
Stencil,8192,0.27,33,29.66,N/A,Table Not Found
Stencil,8192,0.27,34,29.75,N/A,Table Not Found
Stencil,8192,0.27,35,29.00,N/A,Table Not Found
Stencil,8192,0.27,36,28.22,N/A,Table Not Found
Stencil,8192,0.27,37,28.34,N/A,Table Not Found
Stencil,8192,0.27,38,30.01,N/A,Table Not Found
Stencil,8192,0.27,39,27.95,N/A,Table Not Found
Stencil,8192,0.27,40,29.08,N/A,Table Not Found
Stencil,8192,0.27,41,28.73,N/A,Table Not Found
Stencil,8192,0.27,42,28.46,N/A,Table Not Found
Stencil,8192,0.27,43,28.36,N/A,Table Not Found
Stencil,8192,0.27,44,29.22,N/A,Table Not Found
Stencil,8192,0.27,45,29.82,N/A,Table Not Found
Stencil,8192,0.27,46,28.32,N/A,Table Not Found
Stencil,8192,0.27,47,28.46,N/A,Table Not Found
Stencil,8192,0.27,48,29.59,N/A,Table Not Found
Stencil,8192,0.27,49,29.16,N/A,Table Not Found
Stencil,8192,0.27,50,28.99,N/A,Table Not Found
Stencil,16384,1.07,1,91.97,N/A,Table Not Found
Stencil,16384,1.07,2,91.46,N/A,Table Not Found
