idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,decomp_records,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
57,2026-09-25T18:38:02Z,stencil,C7,256,1.217072,475.62,0,5997D238EF080B77DBD2AAF,61364484,61118536,39.8,0,,334842,329929,329929,0,22066,240348,329929,794597,4913,0,0,29054
58,2026-09-25T18:38:35Z,graphbfs,C7,16,31.455670,182.32,0,5997D238EF080B77DBD2AAF,61404312,61056832,39.8,0,,44559,1130,1130,0,356,904,1130,286810,43429,0,0,353
59,2026-09-25T18:39:08Z,graphbfs,C7,256,31.584905,180.66,0,5997D238EF080B77DBD2AAF,61314472,60977128,39.8,0,,43632,1655,1655,0,380,1364,1655,286277,41977,0,0,378
60,2026-09-25T18:39:10Z,stencil,C0,,1.123750,372.96,0,5997D238EF080B77DBD2AAF,61260636,61048404,39.8,0,,344038,0,0,0,0,0,0,0,0,0,0,0
61,2026-09-25T18:39:13Z,stencil,C7,4096,1.230819,484.62,0,5997D238EF080B77DBD2AAF,61260656,61024148,39.8,0,,349458,349458,349458,0,23261,259141,349458,775211,0,0,0,30679
62,2026-09-25T18:39:16Z,stencil,C7,16,1.189371,443.09,0,5997D238EF080B77DBD2AAF,61275740,61039292,39.8,0,,338852,79872,79872,0,9841,51205,79872,1044529,258980,0,0,10481
63,2026-09-25T18:39:48Z,graphbfs,C7,256,31.452022,175.59,0,5997D238EF080B77DBD2AAF,61309608,61027176,39.8,0,,45206,1935,1935,0,395,1643,1935,286005,43271,0,0,393
64,2026-09-25T18:40:21Z,graphbfs,C7,16,31.639782,176.42,0,5997D238EF080B77DBD2AAF,61280576,60823884,39.8,0,,44762,1242,1242,0,422,1012,1242,286698,43520,0,0,395
65,2026-09-25T18:40:54Z,graphbfs,C7,4096,31.672029,178.60,0,5997D238EF080B77DBD2AAF,61050316,60887312,39.8,0,,42515,7053,7053,0,462,6646,7053,280903,34436,0,1026,696
66,2026-09-25T18:40:57Z,stencil,C7,256,1.236771,489.72,0,5997D238EF080B77DBD2AAF,61157260,61098856,39.8,0,,345206,339470,339470,0,22386,248667,339470,785094,5736,0,0,29487
67,2026-09-25T18:40:59Z,stencil,C0,,1.132141,365.30,0,5997D238EF080B77DBD2AAF,61363672,61175952,39.8,0,,333292,0,0,0,0,0,0,0,0,0,0,0
68,2026-09-25T18:41:02Z,stencil,C7,1,1.178700,435.71,0,5997D238EF080B77DBD2AAF,61346748,61114612,39.8,0,,339300,19811,19811,0,7289,15500,19811,1104569,319489,0,0,7215
69,2026-09-25T18:41:35Z,graphbfs,C0,,31.507486,172.63,0,5997D238EF080B77DBD2AAF,61390656,61104840,39.8,0,,44047,0,0,0,0,0,0,0,0,0,0,0
70,2026-09-25T18:42:08Z,graphbfs,C7,1,31.678232,182.02,0,5997D238EF080B77DBD2AAF,61349020,61074236,39.8,0,,43858,692,692,0,297,540,692,287238,43166,0,0,257
71,2026-09-25T18:42:11Z,stencil,C7,1,1.178858,432.83,0,5997D238EF080B77DBD2AAF,61295556,61144112,39.8,0,,344875,19779,19779,0,7441,15701,19779,1104637,325096,0,0,7384
72,2026-09-25T18:42:43Z,graphbfs,C7,16,31.554711,183.12,0,5997D238EF080B77DBD2AAF,61425436,61010952,39.8,0,,44614,1259,1259,0,349,998,1259,286671,43355,0,0,343
73,2026-09-25T18:42:46Z,stencil,C0,,1.128592,373.94,0,5997D238EF080B77DBD2AAF,61264036,61074508,39.8,0,,347041,0,0,0,0,0,0,0,0,0,0,0
74,2026-09-25T18:43:19Z,graphbfs,C7,256,31.649403,181.43,0,5997D238EF080B77DBD2AAF,61310424,61045492,39.8,0,,44093,1801,1801,0,429,1577,1801,286131,42292,0,0,424
75,2026-09-25T18:43:52Z,graphbfs,C7,1,31.449624,178.50,0,5997D238EF080B77DBD2AAF,61294656,61021840,39.8,0,,45633,645,645,0,314,515,645,287302,44988,0,0,304
76,2026-09-25T18:44:24Z,graphbfs,C7,4096,31.402797,178.13,0,5997D238EF080B77DBD2AAF,61261288,61025668,39.8,0,,43138,6135,6135,0,408,5709,6135,281821,35924,0,1079,614
77,2026-09-25T18:44:57Z,graphbfs,C0,,31.773582,173.84,0,5997D238EF080B77DBD2AAF,61289384,61120292,39.8,0,,45029,0,0,0,0,0,0,0,0,0,0,0
